time,x,y,z,shaft_length
120.160,-0.000680,-0.009348,0.032721,0.0100
120.192,-0.000680,-0.009268,0.032873,0.0100
120.224,-0.000680,-0.009187,0.033025,0.0100
120.256,-0.000680,-0.009105,0.033176,0.0100
120.288,-0.000680,-0.009022,0.033327,0.0100
120.320,-0.000680,-0.008937,0.033478,0.0100
120.352,-0.000680,-0.008852,0.033629,0.0100
120.384,-0.000680,-0.008766,0.033779,0.0100
120.416,-0.000680,-0.008679,0.033930,0.0100
120.448,-0.000680,-0.008591,0.034080,0.0100
120.480,-0.000680,-0.008502,0.034230,0.0100
120.512,-0.000680,-0.008412,0.034380,0.0100
120.544,-0.000680,-0.008321,0.034530,0.0100
120.576,-0.000680,-0.008229,0.034679,0.0100
120.608,-0.000680,-0.008136,0.034828,0.0100
120.640,-0.000680,-0.008042,0.034977,0.0100
120.672,-0.000680,-0.007947,0.035126,0.0100
120.704,-0.000680,-0.007851,0.035275,0.0100
120.736,-0.000680,-0.007754,0.035423,0.0100
120.768,-0.000680,-0.007656,0.035571,0.0100
120.800,-0.000680,-0.007557,0.035719,0.0100
120.832,-0.000680,-0.007457,0.035867,0.0100
120.864,-0.000680,-0.007356,0.036015,0.0100
120.896,-0.000680,-0.007254,0.036162,0.0100
120.928,-0.000680,-0.007152,0.036309,0.0100
120.960,-0.000680,-0.007048,0.036456,0.0100
120.992,-0.000680,-0.006943,0.036603,0.0100
121.024,-0.000680,-0.006838,0.036749,0.0100
121.056,-0.000680,-0.006731,0.036895,0.0100
121.088,-0.000680,-0.006624,0.037041,0.0100
121.120,-0.000680,-0.006515,0.037187,0.0100
121.152,-0.000680,-0.006406,0.037332,0.0100
121.184,-0.000680,-0.006296,0.037478,0.0100
121.216,-0.000680,-0.006184,0.037623,0.0100
121.248,-0.000680,-0.006072,0.037767,0.0100
121.280,-0.000680,-0.005959,0.037912,0.0100
121.312,-0.000680,-0.005845,0.038058,0.0100
121.344,-0.000680,-0.005730,0.038204,0.0100
121.376,-0.000680,-0.005614,0.038349,0.0100
121.408,-0.000680,-0.005497,0.038494,0.0100
121.440,-0.000680,-0.005379,0.038639,0.0100
121.472,-0.000680,-0.005260,0.038783,0.0100
121.504,-0.000680,-0.005140,0.038927,0.0100
121.536,-0.000680,-0.005020,0.039071,0.0100
121.568,-0.000680,-0.004898,0.039215,0.0100
121.600,-0.000680,-0.004776,0.039358,0.0100
121.632,-0.000680,-0.004652,0.039502,0.0100
121.664,-0.000680,-0.004528,0.039644,0.0100
121.696,-0.000680,-0.004403,0.039787,0.0100
121.728,-0.000680,-0.004277,0.039929,0.0100
121.760,-0.000680,-0.004208,0.040044,0.0100
121.824,-0.000680,-0.004129,0.040175,0.0100
121.952,-0.000680,-0.004076,0.040263,0.0100
129.824,-0.000680,-0.004139,0.040146,0.0100
129.856,-0.000680,-0.004266,0.040005,0.0100
129.888,-0.000680,-0.004393,0.039862,0.0100
129.920,-0.000680,-0.004519,0.039720,0.0100
129.952,-0.000680,-0.004644,0.039577,0.0100
129.984,-0.000680,-0.004768,0.039434,0.0100
130.016,-0.000680,-0.004891,0.039290,0.0100
130.048,-0.000680,-0.005013,0.039147,0.0100
130.080,-0.000680,-0.005134,0.039003,0.0100
130.112,-0.000680,-0.005255,0.038859,0.0100
130.144,-0.000680,-0.005374,0.038714,0.0100
130.176,-0.000680,-0.005493,0.038570,0.0100
130.208,-0.000680,-0.005610,0.038425,0.0100
130.240,-0.000680,-0.005727,0.038280,0.0100
130.272,-0.000680,-0.005842,0.038134,0.0100
130.304,-0.000680,-0.005957,0.037988,0.0100
130.336,-0.000680,-0.006071,0.037843,0.0100
130.368,-0.000680,-0.006184,0.037696,0.0100
130.400,-0.000680,-0.006295,0.037551,0.0100
130.432,-0.000680,-0.006406,0.037406,0.0100
130.464,-0.000680,-0.006516,0.037261,0.0100
130.496,-0.000680,-0.006625,0.037115,0.0100
130.528,-0.000680,-0.006733,0.036969,0.0100
130.560,-0.000680,-0.006841,0.036823,0.0100
130.592,-0.000680,-0.006947,0.036677,0.0100
130.624,-0.000680,-0.007052,0.036530,0.0100
130.656,-0.000680,-0.007156,0.036384,0.0100
130.688,-0.000680,-0.007260,0.036236,0.0100
130.720,-0.000680,-0.007362,0.036089,0.0100
130.752,-0.000680,-0.007463,0.035942,0.0100
130.784,-0.000680,-0.007564,0.035794,0.0100
130.816,-0.000680,-0.007663,0.035646,0.0100
130.848,-0.000680,-0.007762,0.035498,0.0100
130.880,-0.000680,-0.007859,0.035349,0.0100
130.912,-0.000680,-0.007956,0.035201,0.0100
130.944,-0.000680,-0.008051,0.035052,0.0100
130.976,-0.000680,-0.008146,0.034903,0.0100
131.008,-0.000680,-0.008239,0.034754,0.0100
131.040,-0.000680,-0.008332,0.034604,0.0100
131.072,-0.000680,-0.008424,0.034454,0.0100
131.104,-0.000680,-0.008514,0.034305,0.0100
131.136,-0.000680,-0.008604,0.034154,0.0100
131.168,-0.000680,-0.008693,0.034004,0.0100
131.200,-0.000680,-0.008780,0.033854,0.0100
131.232,-0.000680,-0.008867,0.033703,0.0100
131.264,-0.000680,-0.008953,0.033552,0.0100
131.296,-0.000680,-0.009038,0.033401,0.0100
131.328,-0.000680,-0.009122,0.033250,0.0100
131.360,-0.000680,-0.009204,0.033099,0.0100
131.392,-0.000680,-0.009286,0.032947,0.0100
131.424,-0.000680,-0.009367,0.032795,0.0100
131.456,-0.000680,-0.009447,0.032643,0.0100
131.488,-0.000680,-0.009525,0.032491,0.0100
131.520,-0.000680,-0.009603,0.032339,0.0100
131.552,-0.000680,-0.009680,0.032186,0.0100
131.584,-0.000680,-0.009756,0.032034,0.0100
131.616,-0.000680,-0.009831,0.031881,0.0100
131.648,-0.000680,-0.009904,0.031728,0.0100
131.680,-0.000680,-0.009977,0.031575,0.0100
131.712,-0.000680,-0.010049,0.031421,0.0100
131.744,-0.000680,-0.010105,0.031300,0.0100
131.808,-0.000680,-0.010168,0.031161,0.0100
131.936,-0.000680,-0.010209,0.031066,0.0100
139.808,-0.000680,-0.010289,0.031172,0.0100
139.840,-0.000680,-0.010358,0.031303,0.0100
139.872,-0.000680,-0.010428,0.031433,0.0100
139.904,-0.000680,-0.010498,0.031563,0.0100
139.936,-0.000680,-0.010568,0.031693,0.0100
139.968,-0.000680,-0.010638,0.031823,0.0100
140.000,-0.000680,-0.010708,0.031953,0.0100
140.032,-0.000680,-0.010779,0.032082,0.0100
140.064,-0.000680,-0.010850,0.032212,0.0100
140.096,-0.000680,-0.010921,0.032341,0.0100
140.128,-0.000680,-0.010992,0.032470,0.0100
140.160,-0.000680,-0.011064,0.032599,0.0100
140.192,-0.000680,-0.011136,0.032728,0.0100
140.224,-0.000680,-0.011208,0.032856,0.0100
140.256,-0.000680,-0.011280,0.032985,0.0100
140.288,-0.000680,-0.011353,0.033113,0.0100
140.320,-0.000680,-0.011425,0.033241,0.0100
140.352,-0.000680,-0.011498,0.033369,0.0100
140.384,-0.000680,-0.011572,0.033496,0.0100
140.416,-0.000680,-0.011645,0.033624,0.0100
140.448,-0.000680,-0.011719,0.033751,0.0100
140.480,-0.000680,-0.011793,0.033878,0.0100
140.512,-0.000680,-0.011867,0.034005,0.0100
140.544,-0.000680,-0.011941,0.034132,0.0100
140.576,-0.000680,-0.012016,0.034258,0.0100
140.608,-0.000680,-0.012090,0.034384,0.0100
140.640,-0.000680,-0.012165,0.034511,0.0100
140.672,-0.000680,-0.012241,0.034636,0.0100
